distance_bucket,coefficient_log_points,robust_se,effect_pct,ci_low_pct,ci_high_pct
301-500m,-0.03584945357033065,0.006275792014843459,-3.5214472432815724,-4.700917790949443,-2.327378960351534
151-300m,-0.05992620528815262,0.003768420180404338,-5.816596660903983,-6.509682279012652,-5.118372888537848
101-150m,-0.05949444819999894,0.004708788126820531,-5.775923529101245,-6.641538085747012,-4.902283041593803
51-100m,-0.08065561059785109,0.0042876780280618485,-7.748866012709321,-8.520882109882777,-6.9703346706576745
<=50m,-0.11662289335730125,0.006412965482531158,-11.007927508935122,-12.119504990899577,-9.882289973049918
