"facility_id","common_name","address","city","zip_code","block_lot","owned_leased","dept_id_for_jurisdiction","jurisdiction","gross_sq_ft","longitude","latitude","supervisor_district","city_tenants","land_id","geom","data_last_updated","data_as_of","data_loaded_at"
"3449","AIR OPS - 1056","1056 NORTH ACCESS RD","San Francisco","94128",,"Own","34","Airport (Sfo)",,"-122.38051960799999","37.62908089700005",,,"635","POINT (-122.380519608 37.629080897)","2026/02/26 11:18:42 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1734","SWL 352 - Backlands Redevelopment","Cargo Way","San Francisco","94124","4502A002","Own","46","Port","2,120,275","-122.37779736899995","37.74383117200006","10",,"783","POINT (-122.377797369 37.743831172)","2018/01/18 10:07:26 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"3031","Yacht Harbor Degaussing Station","3950 Scott St","San Francisco","94123","0900003","Own","49","Recreation And Parks",,"-122.44565731699998","37.80700236100006","2",,"102","POINT (-122.445657317 37.807002361)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"805","Gilman Bathrooms","993 Gilman Ave","San Francisco","94124","4945006","Own","49","Recreation And Parks","270","-122.38833113999999","37.716828649000036","10",,"23","POINT (-122.38833114 37.716828649)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"3108","ZSFGH - Building 20","1001 Potrero Ave","San Francisco","94110","4154001","Own","72","Public Health",,"-122.40584438099995","37.75599377800006","10",,"614","POINT (-122.405844381 37.755993778)","2017/08/15 08:41:40 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"893","Ida B Wells High","1099 Hayes St","San Francisco","94117","0823011","Own","16","School District (Sfusd)","34,300","-122.43403687999995","37.77498638600008","5",,"418","POINT (-122.43403688 37.774986386)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"3341","1755 Egbert Storage Yard","1755 Egbert Ave","San Francisco","94124",,"Lease","9","Non-City",,"-122.39699916699999","37.726175083000044","10",,,"POINT (-122.396999167 37.726175083)","2018/03/14 10:40:43 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"2041","Kezar Fieldhouse S","755 Stanyan St","San Francisco","94117","1263011","Own","49","Recreation And Parks",,"-122.45601493499998","37.76624106100007","5",,"56","POINT (-122.456014935 37.766241061)","2019/02/08 11:59:40 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1250","Patricias Green Gardeners Shed","450 Octavia St","San Francisco","94102","0817033","Own","49","Recreation And Parks","52","-122.42444253299999","37.77591066400004","5",,"533","POINT (-122.424442533 37.775910664)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1644","Stationary Engineers & Electric Rm","100 Martin Luther King Dr","San Francisco","94117","1263011","Own","49","Recreation And Parks",,"-122.46261616199996","37.76885049600003","7",,"56","POINT (-122.462616162 37.768850496)","2019/02/11 07:19:07 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"380","Camp Mather Office","35250 Mather Rd","Groveland","95321","681600100","Own","49","Recreation And Parks",,"-119.85569019599995","37.88270314400006",,,"1,199","POINT (-119.855690196 37.882703144)","2018/03/27 07:24:45 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"921","Japan Center Parking Garage","1610 Geary Blvd","San Francisco","94115","0700038","Own","42","Municipal Transportation Agency","237,566","-122.43038641999999","37.784936722000054","5",,"743","POINT (-122.43038642 37.784936722)","2017/03/09 11:14:55 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
