"facility_id","common_name","address","city","zip_code","block_lot","owned_leased","dept_id_for_jurisdiction","jurisdiction","gross_sq_ft","longitude","latitude","supervisor_district","city_tenants","land_id","geom","data_last_updated","data_as_of","data_loaded_at"
"3389","ELECTRICAL SUBSTATION BB - 787-BB",,"San Francisco","94128",,"Own","34","Airport (Sfo)",,"-122.39691617699998","37.63151271300006",,,"635","POINT (-122.396916177 37.631512713)","2025/10/21 05:09:20 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"3407","AIR TRAIN TERMINAL T1 - 279","279 UPPER DOMESTIC LOOP","San Francisco","94128",,"Own","34","Airport (Sfo)",,"-122.38567423999996","37.61518349500005",,,"635","POINT (-122.38567424 37.615183495)","2025/10/21 05:09:20 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"3185","SE DIGEST GROUP #1 CTRL- 620","1700 Jerrold Ave","San Francisco","94124","5313002","Own","47","Public Utilities Commission",,"-122.39015065699999","37.74218902500007","10",,"792","POINT (-122.390150657 37.742189025)","2025/10/21 05:09:20 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1489","Fox Plaza","1390 Market St","San Francisco","94102","0813007","Lease","9","Non-City",,"-122.41744218199995","37.77717442900007","6","City Attorney: Public Health: Children Youth And Families: Human Services Agency","1,129","POINT (-122.417442182 37.777174429)","2017/12/21 10:38:28 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1035","Lower Shang","32560 Mather Rd","Groveland","95321","681600100","Own","49","Recreation And Parks",,"-119.85613576899999","37.881269985000074",,,"1,199","POINT (-119.856135769 37.881269985)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1648","Stern Grove - New Stage","2899 19TH AVE","San Francisco","94132","2488001","Own","49","Recreation And Parks","1,134","-122.47926297899994","37.73614553200008","4",,"74","POINT (-122.479262979 37.736145532)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"331","Cabin #71","32560 Mather Rd","Groveland","95321","681600100","Own","49","Recreation And Parks",,"-119.85373773099997","37.880830367000044",,,"1,199","POINT (-119.853737731 37.880830367)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"533","Corp Yard Gas Station","100 Martin Luther King Dr","San Francisco","94117","1263011","Own","49","Recreation And Parks","5,929","-122.46061627999995","37.76894882000005","7",,"56","POINT (-122.46061628 37.76894882)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"832","H. Hetchy-Warnerville Substation/Switchyard","10501 Warnerville Rd","Oakdale","95361",,"Own","47","Public Utilities Commission","1,835","-120.80243618999998","37.74159451200006",,,"1,204","POINT (-120.80243619 37.741594512)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1073","Maxine Hall Health Center","1301 Pierce St","San Francisco","94115","0728005A","Own","72","Public Health","20,590","-122.43603595199994","37.78223856200003","5",,"363","POINT (-122.436035952 37.782238562)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"2020","Pier 90 - Maintenance Bldg","Cargo Way","San Francisco","94124","4502A002","Own","46","Port","1,260","-122.37779736899995","37.74383117200006","10",,"783","POINT (-122.377797369 37.743831172)","2018/01/18 10:07:25 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1669","Strybing Pump Stn","Lincoln Way and 09th Ave","San Francisco","94117","1263011","Own","49","Recreation And Parks","702","-122.46694192199999","37.766102008000075","7",,"56","POINT (-122.466941922 37.766102008)","2019/02/11 07:26:15 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1068","Mather Bath House C","32560 Mather Rd","Groveland","95321","681600100","Own","49","Recreation And Parks",,"-119.85305408999994","37.88096186000007",,,"1,199","POINT (-119.85305409 37.88096186)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"625","Earl P. Mills Community Center","100 WHITNEY YOUNG CIR","San Francisco","94124","4711006","Own","52","Human Services Agency","15,000","-122.38400188599996","37.73416123000004","10",,"592","POINT (-122.384001886 37.73416123)","2024/10/28 06:24:32 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"999","LAUNDRY/MEDICAL - LOG CABIN","500 Log Cabin Ranch Road","La Honda","94020","083300010","Own","21","Juvenile Probation","2,600","-122.25682464999994","37.305214093000075",,,"921","POINT (-122.25682465 37.305214093)","2025/07/09 08:55:39 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"516","Conservatory Greenhouse 3","100 John F Kennedy Dr","San Francisco","94117","1263011","Own","49","Recreation And Parks","1,645","-122.46008376399999","37.77300185800004","1",,"56","POINT (-122.460083764 37.773001858)","2019/02/08 11:37:16 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1348","Wholesale Produce Market - Public Dock 2 Middle","2002 Jerrold Ave","San Francisco","94124","5281020","Own","63","Gsa - Real Estate Division","5,200","-122.397364703","37.74329527000003","10",,"165","POINT (-122.397364703 37.74329527)","2017/05/04 04:11:34 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"24","19th - Ocean Parking Lot","3000 19th Ave","San Francisco","94132","7226016","Own","42","Municipal Transportation Agency","5,920","-122.47461099799995","37.732031144000075","7",,"762","POINT (-122.474610998 37.732031144)","2017/06/05 09:15:52 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1839","Washington Square Bathrooms","600 Columbus Ave","San Francisco","94133","0102001","Own","49","Recreation And Parks","292","-122.41054163099994","37.80096862000005","3",,"134","POINT (-122.410541631 37.80096862)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"183","Bessie Carmichael / Filipino Education Ctr (6-8)","824 Harrison St","San Francisco","94107","3752012","Own","16","School District (Sfusd)","13,654","-122.40047915999997","37.780554883000036","6",,"497","POINT (-122.40047916 37.780554883)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1077","McLaren Lodge","501 Stanyan St","San Francisco","94117","1263011","Own","49","Recreation And Parks","4,964","-122.45450307099998","37.77217608900003","1",,"56","POINT (-122.454503071 37.772176089)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1017","Lincoln Park Sm Maint Bldg","300 34th Ave","San Francisco","94121","1313028","Own","49","Recreation And Parks","684","-122.49832261499995","37.784258410000064","1",,"93","POINT (-122.498322615 37.78425841)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1975","Pier 70 - Pier 68 - Office Bldg Annex to #101, Bldg. #40","590 20TH ST","San Francisco","94107","9900070","Own","46","Port","11,800","-122.38595231199997","37.76203009900007","10",,"370","POINT (-122.385952312 37.762030099)","2025/10/21 05:28:55 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1368","Salt Water Pumping Station #2 (Fort Mason)","3301 Van Ness Ave","San Francisco","94109","0409002","Lease","9","Non-City",,"-122.42691671499995","37.80785308900005","2","Public Utilities Commission","607","POINT (-122.426916715 37.807853089)","2017/12/28 10:59:52 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"3521","LGBTQ+ History Museum Site","2280 Market St","San Francisco","94114","3560013","Own","63","Gsa - Real Estate Division",,"-122.43282722899994","37.764890292000075","8",,"1,303","POINT (-122.432827229 37.764890292)","2024/12/18 11:39:55 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"299","Cabin #25","32560 Mather Rd","Groveland","95321","681600100","Own","49","Recreation And Parks",,"-119.85373773099997","37.880830367000044",,,"1,199","POINT (-119.853737731 37.880830367)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1782","Trans-Ocean Avenue Turnaround","425 Geneva Ave","San Francisco","94112","6949015","Own","42","Municipal Transportation Agency",,"-122.44690418799996","37.72101782400006","11",,"645","POINT (-122.446904188 37.721017824)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"141","155-165 Grove St","155 Grove St","San Francisco","94102","0811204","Own","103","Mayor","4,186","-122.41916027099995","37.77812761800004","5",,"1,299","POINT (-122.419160271 37.778127618)","2024/03/15 10:07:43 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"848","Harding Park Maintenance Bldg","99 Harding Rd","San Francisco","94132","7283004","Own","49","Recreation And Parks","8,001","-122.48576749399996","37.71836911100007","7",,"810","POINT (-122.485767494 37.718369111)","2019/02/06 09:34:54 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"726","Fire Station #43","720 Moscow St","San Francisco","94112","6338024","Own","38","Fire Department","10,800","-122.43167870699995","37.71634867300003","11",,"308","POINT (-122.431678707 37.716348673)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"3516","1321 Mission St","1321 Mission St","San Francisco","94103","3509043","Own","121","Homelessness And Supportive Housing",,"-122.41478151999996","37.77589960800003","6",,"1,295","POINT (-122.41478152 37.775899608)","2022/11/30 12:03:16 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1215","Paint & Carpentry Shop","100 Martin Luther King Dr","San Francisco","94117","1263011","Own","49","Recreation And Parks","1,200","-122.46251106599999","37.768630933000054","7",,"56","POINT (-122.462511066 37.768630933)","2019/02/11 07:19:07 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1721","SWL 303 - The Bay Company, Hoppe, Arthur N.","496 Jefferson St","San Francisco","94133","9900070","Own","46","Port","8,339","-122.42058137499998","37.80777258100005","3",,"370","POINT (-122.420581375 37.807772581)","2025/10/21 05:28:55 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"3183","SE SED. CONTROL - 043","1700 Jerrold Ave","San Francisco","94124","5313002","Own","47","Public Utilities Commission",,"-122.391441612","37.74258497000005","10",,"792","POINT (-122.391441612 37.74258497)","2025/10/21 05:09:20 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"712","Fire Station #3","1067 Post St","San Francisco","94109","0693018","Own","38","Fire Department","8,000","-122.41932098399997","37.786641204000034","3",,"328","POINT (-122.419320984 37.786641204)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"3067","KITCHEN - LOG CABIN","500 Log Cabin Ranch Rd","La Honda","94020","083300010","Own","21","Juvenile Probation",,"-122.25645900699999","37.30479052600003",,,"921","POINT (-122.256459007 37.304790526)","2025/07/09 08:55:39 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"524","Conservatory Rose House","100 John F Kennedy Dr","San Francisco","94117","1263011","Own","49","Recreation And Parks",,"-122.46036309399994","37.772709364000036","1",,"56","POINT (-122.460363094 37.772709364)","2019/02/11 10:25:38 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"3338","SamTrans Right of Way - Millbrae","Millbrae","Millbrae","94030",,"Lease","9","Non-City",,"-122.39698324899996","37.610205560000054",,"Technology",,"POINT (-122.396983249 37.61020556)","2017/12/18 11:22:09 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"3186","SE DIGEST GROUP #2 CTRL- 680","1700 Jerrold Ave","San Francisco","94124","5313002","Own","47","Public Utilities Commission",,"-122.39059707499996","37.74214509300003","10",,"792","POINT (-122.390597075 37.742145093)","2025/10/21 05:09:20 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1633","St Mary's Rec Center","95 Justin Dr","San Francisco","94112","5801002","Own","49","Recreation And Parks","23,307","-122.42170980499998","37.734235341000044","9",,"26","POINT (-122.421709805 37.734235341)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"655","Fac. 200 - World Trade Club Restaurant","San Francisco Ferry Bldg","San Francisco","94105","9900070","Own","46","Port","30,048","-122.39185845199995","37.79575865000004","3",,"370","POINT (-122.391858452 37.79575865)","2025/10/21 05:28:55 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"768","Garfield Square Clubhouse","3100 26th St","San Francisco","94110","6523001","Own","49","Recreation And Parks","2,320","-122.41198604099998","37.74993629200003","9",,"16","POINT (-122.411986041 37.749936292)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"114","Alioto Gazebo","490 Capp St","San Francisco","94110","3595016","Own","49","Recreation And Parks",,"-122.41825073899997","37.75891530900003","9",,"57","POINT (-122.418250739 37.758915309)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1403","RICHMOND SUBSTATION","435 8th Ave","San Francisco","94118","1536004","Own","42","Municipal Transportation Agency","5,998","-122.46658603199995","37.780193043000054","1",,"826","POINT (-122.466586032 37.780193043)","2025/10/21 05:09:20 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"3170","Richmond Neighborhood Center","750 31st Ave","San Francisco","94121","1614008","Own","16","School District (Sfusd)",,"-122.49028312999997","37.775099813000054","1",,"442","POINT (-122.49028313 37.775099813)","2025/10/21 05:09:20 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1117","Mission Branch Library","300 Bartlett St","San Francisco","94110","6515001","Own","48","Public Library","10,479","-122.41982646399998","37.75196896600005","9",,"199","POINT (-122.419826464 37.751968966)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"487","Civic Center Courthouse","400 McAllister St","San Francisco","94102","0766002","Own","4","Superior Court","231,000","-122.41965995399994","37.780436491000046","5",,"611","POINT (-122.419659954 37.780436491)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"3473","MS Hayward Historic Clubhouse","1016 Laguna St","San Francisco","94102","0759001","Own","49","Recreation And Parks",,"-122.42671429999996","37.780747493000035","5",,"601","POINT (-122.4267143 37.780747493)","2019/02/21 11:03:31 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1991","Pier 70 - SWL 345 - Kneass Boatworks, Main Office/boat storage","420 22nd St","San Francisco","94107","4111003","Own","46","Port","1","-122.38300091999997","37.76039202100003","10",,"733","POINT (-122.38300092 37.760392021)","2018/01/18 10:07:25 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1901","Pier 3 - Bulkhead/Shed Building","The Embarcadero","San Francisco","94109","9900070","Own","46","Port","24,950","-122.39575688199994","37.79763200600007","3",,"370","POINT (-122.395756882 37.797632006)","2025/10/21 05:28:55 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"3441","BOARDING AREA F JETWAY BUILDING - 400M","400 UPPER DOMESTIC LOOP","San Francisco","94128",,"Own","34","Airport (Sfo)",,"-122.38914559399996","37.62087971500006",,,"635","POINT (-122.389145594 37.620879715)","2025/10/21 05:09:20 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1468","Sect 4 Gardener Cpd @ Boathouse","John F Kennedy Dr & Stow Lake Dr","San Francisco","94117","1263011","Own","49","Recreation And Parks",,"-122.47718192999997","37.77061459200007","7",,"56","POINT (-122.47718193 37.770614592)","2019/02/11 07:15:19 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"3287","Parkmerced Shopping Center","51 Cambon Dr","San Francisco","94132",,"Lease","9","Non-City",,"-122.47364597599994","37.71751317600007","7","Gsa - City Administrator's Office",,"POINT (-122.473645976 37.717513176)","2017/12/26 10:29:21 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"3060","HALL OF JUSTICE GAS STATION","950 Bryant St","San Francisco","94103","3758127","Own","78","Gsa - Office Of Contract Administration",,"-122.40588533999994","37.77366993500004","6",,"187","POINT (-122.40588534 37.773669935)","2018/01/18 10:03:41 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"2050","Moscone West","747 Howard St","San Francisco","94103","3724035","Own","80","Gsa - Convention Facilities Management","775,000","-122.40328578099997","37.78325090200008","6",,"804","POINT (-122.403285781 37.783250902)","2025/10/21 11:11:05 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"858","Helen Wills Clubhouse","1401 Broadway","San Francisco","94109","0573001","Own","49","Recreation And Parks","3,082","-122.42027993299996","37.79576853900005","3",,"122","POINT (-122.420279933 37.795768539)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"352","Cabin 31","32560 Mather Rd","Groveland","95321","681600100","Own","49","Recreation And Parks",,"-119.85373773099997","37.880830367000044",,,"1,199","POINT (-119.853737731 37.880830367)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1811","VALLEJO STREET Parking Garage","766 Vallejo St","San Francisco","94133","0130043","Own","42","Municipal Transportation Agency","70,760","-122.40991067799996","37.79872657300007","3",,"163","POINT (-122.409910678 37.798726573)","2025/10/21 05:09:20 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"731","Fire Station #7 - Division 3 Headquarters","2300 Folsom St","San Francisco","94110","3594059","Own","38","Fire Department","16,488","-122.41504181999994","37.76025539700004","9",,"314","POINT (-122.41504182 37.760255397)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1084","Mclaren Park La Grande Tank","61 JOHN F SHELLEY DR","San Francisco","94134","6190066","Own","49","Recreation And Parks",,"-122.42420507599996","37.72312695800008","11",,"779","POINT (-122.424205076 37.723126958)","2026/02/27 12:46:52 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"779","GENEVA AVE./MUNICH SFMTA Operator Bathroom","1380 Geneva Ave","San Francisco","94112",,"Own","42","Municipal Transportation Agency","75","-122.433275606","37.71290200200008","11",,"0","POINT (-122.433275606 37.712902002)","2025/10/21 05:09:20 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"12","BEACH CHALET Shed","1000 Great Hwy","San Francisco","94121","1263011","Own","49","Recreation And Parks","156","-122.51005211699999","37.76904896600007","4",,"56","POINT (-122.510052117 37.769048966)","2017/03/31 06:36:36 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"754","Francis Scott Key Elementary","1530 43rd Ave","San Francisco","94122","1888001","Own","16","School District (Sfusd)","52,000","-122.50199953099997","37.75809770600006","4",,"455","POINT (-122.501999531 37.758097706)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1127","Mission PG Clubhouse","3555 19th St","San Francisco","94110","3597061","Own","49","Recreation And Parks",,"-122.42248002699995","37.759537428000044","9",,"54","POINT (-122.422480027 37.759537428)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"891","Hyde Street Pier","2905 Hyde St","San Francisco","94109","9900070","Own","46","Port","18,689","-122.42098174799997","37.80879460800003","2",,"370","POINT (-122.420981748 37.808794608)","2025/10/21 05:28:55 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"2046","Lake Merced maintenance facility 2","991 Lake Merced Blvd","San Francisco","94132","7283004","Own","49","Recreation And Parks",,"-122.48617064099994","37.71685036000008","7",,"810","POINT (-122.486170641 37.71685036)","2019/02/06 09:45:07 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1932","Pier 47 - Scomas Restaurant","1965 Al Scoma Way","San Francisco","94133","9900070","Own","46","Port","11,001","-122.41857698799998","37.80895452800007","3",,"370","POINT (-122.418576988 37.808954528)","2025/10/21 05:28:55 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1977","Pier 70 - Pier 68 - Office Building #104","590 20TH ST","San Francisco","94107","9900070","Own","46","Port","37,641","-122.38595231199997","37.76203009900007","10",,"370","POINT (-122.385952312 37.762030099)","2025/10/21 05:28:55 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"369","Cabrillo Storage Shed","858 38th Ave","San Francisco","94121","1681013","Own","49","Recreation And Parks",,"-122.49871645999997","37.77310620900005","1",,"85","POINT (-122.49871646 37.773106209)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1376","Ravenswood Construction Management Office","5000 University Ave","Menlo Park","94025",,"Own","47","Public Utilities Commission",,"-122.13533647799994","37.48345150200004",,,"10,000","POINT (-122.135336478 37.483451502)","2026/02/27 12:24:35 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"3153","ZOO - TERRACE CAFÉ","1 Zoo Rd","San Francisco","94132","7281002","Own","49","Recreation And Parks",,"-122.49978386199996","37.73321831900006","7",,"489","POINT (-122.499783862 37.733218319)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1764","The Episcopal Sanctuary (Shelter)","201 08th St","San Francisco","94103","3730038","Lease","9","Non-City",,"-122.41116200099998","37.77624128700006","6","Homelessness And Supportive Housing","1,158","POINT (-122.411162001 37.776241287)","2017/12/28 09:20:15 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"3371","SFO OFFICES / CARGO BUILDING - 710","710 NORTH MCDONNELL ROAD","San Francisco","94128",,"Own","34","Airport (Sfo)",,"-122.39982431799996","37.62519083900003",,,"635","POINT (-122.399824318 37.625190839)","2025/10/21 05:09:20 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1604","SOMA Eugene Friend Rec Center","270 06th St","San Francisco","94103","3731111","Own","49","Recreation And Parks","17,680","-122.40652312099996","37.778794230000074","6",,"35","POINT (-122.406523121 37.77879423)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1048","Malcolm X Elementary","350 Harbor Rd","San Francisco","94124","4700071","Own","16","School District (Sfusd)","50,800","-122.38095370299999","37.73415421000004","10",,"282","POINT (-122.380953703 37.73415421)","2017/05/25 11:01:19 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"3320","The Academy - San Francisco @ McAteer","555 Portola Dr","San Francisco","94131","7560003","Own","16","School District (Sfusd)",,"-122.44948465599998","37.745158477000075","8",,"874","POINT (-122.449484656 37.745158477)","2017/05/30 04:09:30 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"762","Funston Senior Center","1800 Chestnut St","San Francisco","94123","0469001","Own","49","Recreation And Parks","621","-122.43317250599995","37.801412783000046","2",,"441","POINT (-122.433172506 37.801412783)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"3114","ZSFGH - Building 90","1001 Potrero Ave","San Francisco","94110","4154001","Own","72","Public Health",,"-122.40578202299997","37.757333075000076","10",,"614","POINT (-122.405782023 37.757333075)","2017/08/15 08:40:21 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"3463","964 Natoma St","964 Natoma St","San Francisco","94103","3510035","Own","63","Gsa - Real Estate Division",,"-122.41579131799995","37.773906141000055","6",,"1,234","POINT (-122.415791318 37.773906141)","2018/10/24 10:05:33 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"283","Cabin #100","32560 Mather Rd","Groveland","95321","681600100","Own","49","Recreation And Parks",,"-119.85373773099997","37.880830367000044",,,"1,199","POINT (-119.853737731 37.880830367)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"189","Bison Paddock","1237 John F Kennedy Dr","San Francisco","94117","1263011","Own","49","Recreation And Parks",,"-122.49932677899994","37.76908395800007","1",,"56","POINT (-122.499326779 37.769083958)","2019/02/11 07:24:58 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"3148","ZOO - PACHYDERM BARN/PIGMY HIPPO","1 Zoo Rd","San Francisco","94132","7281002","Own","49","Recreation And Parks",,"-122.50202944999995","37.73277699000005","7",,"489","POINT (-122.50202945 37.73277699)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"3038","Academy of Sciences","55 Music Concourse Dr","San Francisco","94118","1263011","Own","57","Academy Of Sciences",,"-122.46596524899996","37.76944547700003","7",,"56","POINT (-122.465965249 37.769445477)","2018/03/14 10:49:35 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"685","Fire Chief's Residence","870 Bush St","San Francisco","94108","0274010","Own","38","Fire Department","4,500","-122.41159217899997","37.78999924100003","3",,"333","POINT (-122.411592179 37.789999241)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"3505","921 Howard St","921 Howard St","San Francisco","94103","3732761","Own","103","Mayor",,"-122.40515846099998","37.780994115000055","6",,"1,290","POINT (-122.405158461 37.780994115)","2021/06/09 12:17:03 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"3416","TERMINAL 3 - 400","400 UPPER DOMESTIC LOOP","San Francisco","94128",,"Own","34","Airport (Sfo)",,"-122.387639176","37.61778995800006",,,"635","POINT (-122.387639176 37.617789958)","2025/10/21 05:09:20 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"793","GGP -- Reservoir and Pump Station","20 Overlook Dr","San Francisco","94122","1263011","Own","49","Recreation And Parks",,"-122.48059726099996","37.77057286500008","1",,"56","POINT (-122.480597261 37.770572865)","2019/02/09 12:33:33 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1809","Urban Forestry Office Trailer 1","2323 Cesar Chavez St","San Francisco","94124","4341001","Own","77","Public Works","695","-122.40039943799997","37.749048585000025","10",,"182","POINT (-122.400399438 37.749048585)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"2027","1155 Market St Building","1155 Market St","San Francisco","94103","3702820","Lease","9","Non-City",,"-122.41340897899994","37.77922259600007","6","Mayor: Public Works: Human Resources: Assessor-Recorder: Treasurer-Tax Collector: Controller","1,153","POINT (-122.413408979 37.779222596)","2017/12/20 07:23:39 PM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"3301","TI Athletic Field - 8TH/AVE M","Avenue M & 8TH TI ST","San Francisco","94130",,"Own","114","Treasure Island Development Authority",,"-122.36704764699999","37.825536724000074","6",,,"POINT (-122.367047647 37.825536724)","2026/02/27 12:59:43 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"948","Jones St Tank & Tank House","1239 Jones St","San Francisco","94109","0220004","Own","47","Public Utilities Commission",,"-122.41485563999998","37.79282405600003","3",,"335","POINT (-122.41485564 37.792824056)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1105","Midtown Terrace Clubhouse","210 Olympia Way","San Francisco","94131","2736002","Own","49","Recreation And Parks","2,176","-122.45585129899996","37.751588552000044","7",,"775","POINT (-122.455851299 37.751588552)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
"1045","Main St & Mission St SFMTA Operator Bathroom","Main St & Mission St","San Francisco","94105",,"Own","42","Municipal Transportation Agency","68","-122.39500451099997","37.792019794000055","6",,"0","POINT (-122.395004511 37.792019794)","2016/09/12 09:00:00 AM","2026/02/27 09:50:00 AM","2026/03/06 10:20:52 AM"
